21.07.2023                                                                                                                           Salida dinámica de lista                                                                                                                                                                                 1


	Can.distr.	Denomin.	Seccion	Estado	Solic.	Nombre	Entrega	Posicion E	F.Creacion	Pedido	Clase Pedi	F.Creacion	Pedido	Posicion P	Material	Moneda	Cantidad E	UM venta	Valor Neto	StTotPick.	StatGlWM	StTotMovMe	Stat.fact.	Status PT

	01	MODERNO	Picking	4. OTs generadas pendientes de picking o el picking está parcial	1000001609	FAMATODO CENTRO DE DISTRIBUCION	985406138	       530	19.07.2023	903156501	ZED1	19.07.2023	6012914	       580	PB0091974	COP	        24	UN	   452,170	C	B	A	A	A
	01	MODERNO	Picking	4. OTs generadas pendientes de picking o el picking está parcial	1000001609	FAMATODO CENTRO DE DISTRIBUCION	985406138	       450	19.07.2023	903156501	ZED1	19.07.2023	6012914	       490	PB0089037	COP	       112	UN	 1,752,509	C	B	A	A	A
	01	MODERNO	Picking	4. OTs generadas pendientes de picking o el picking está parcial	1000001609	FAMATODO CENTRO DE DISTRIBUCION	985406138	       460	19.07.2023	903156501	ZED1	19.07.2023	6012914	       500	PB0091986	COP	        24	UN	   222,254	C	B	A	A	A
	01	MODERNO	Picking	4. OTs generadas pendientes de picking o el picking está parcial	1000001609	FAMATODO CENTRO DE DISTRIBUCION	985406138	       470	19.07.2023	903156501	ZED1	19.07.2023	6012914	       510	PB0082336	COP	       286	UN	 3,452,220	C	B	A	A	A
	01	MODERNO	Picking	4. OTs generadas pendientes de picking o el picking está parcial	1000001609	FAMATODO CENTRO DE DISTRIBUCION	985406138	       480	19.07.2023	903156501	ZED1	19.07.2023	6012914	       520	PB0091964	COP	       240	UN	 2,743,752	C	B	A	A	A
	01	MODERNO	Picking	4. OTs generadas pendientes de picking o el picking está parcial	1000001609	FAMATODO CENTRO DE DISTRIBUCION	985406138	       490	19.07.2023	903156501	ZED1	19.07.2023	6012914	       530	PB0047928	COP	       144	UN	   910,411	C	B	A	A	A
	01	MODERNO	Picking	4. OTs generadas pendientes de picking o el picking está parcial	1000001609	FAMATODO CENTRO DE DISTRIBUCION	985406138	       500	19.07.2023	903156501	ZED1	19.07.2023	6012914	       550	PB0047924	COP	       216	UN	 1,365,617	C	B	A	A	A
	01	MODERNO	Picking	4. OTs generadas pendientes de picking o el picking está parcial	1000001609	FAMATODO CENTRO DE DISTRIBUCION	985406138	       510	19.07.2023	903156501	ZED1	19.07.2023	6012914	       560	PB0091958	COP	        27	UN	   394,907	C	B	A	A	A
	01	MODERNO	Picking	4. OTs generadas pendientes de picking o el picking está parcial	1000001609	FAMATODO CENTRO DE DISTRIBUCION	985406138	       520	19.07.2023	903156501	ZED1	19.07.2023	6012914	       570	PB0078409	COP	       340	UN	 3,800,112	C	B	A	A	A
	01	MODERNO	Picking	4. OTs generadas pendientes de picking o el picking está parcial	1000001609	FAMATODO CENTRO DE DISTRIBUCION	985406138	       340	19.07.2023	903156501	ZED1	19.07.2023	6012914	       350	PB0091968	COP	        64	UN	   976,877	C	B	A	A	A
	01	MODERNO	Picking	4. OTs generadas pendientes de picking o el picking está parcial	1000001609	FAMATODO CENTRO DE DISTRIBUCION	985406138	        10	19.07.2023	903156501	ZED1	19.07.2023	6012914	        10	PB0093523	COP	        25	UN	   301,768	C	B	A	A	A
	01	MODERNO	Picking	4. OTs generadas pendientes de picking o el picking está parcial	1000001609	FAMATODO CENTRO DE DISTRIBUCION	985406138	        20	19.07.2023	903156501	ZED1	19.07.2023	6012914	        20	PB0047931	COP	        48	UN	   303,514	C	B	A	A	A
	01	MODERNO	Picking	4. OTs generadas pendientes de picking o el picking está parcial	1000001609	FAMATODO CENTRO DE DISTRIBUCION	985406138	        30	19.07.2023	903156501	ZED1	19.07.2023	6012914	        30	PB0062229	COP	       198	UN	 2,516,402	C	B	A	A	A
