21.07.2023                                                                                                         Salida dinámica de lista                                                                                                                                                               1


	Can.distr.	Denomin.	Seccion	Estado	Solic.	Nombre	Pedido	Clase Pedi	Creado el	Nº ped.cliente	Posición	Material	Vlr.Neto P	Moneda	Cantidad P	Cantidad C	UM venta	Vlr.Neto C	Status Glo	Status Tot	Status Ent	Status Ent	Status Ent

	01	MODERNO	Picking	1. Pendiente de generación de Entrega	1000000191	COLOMBIANA DE COMERCIO CORBETA SA	903153257	ZED1	13.07.2023	AKPAS0000932715	     140	PB0091599	   157,104	COP	        24	         6	UN	    39,276	B	A	B	B	A
	01	MODERNO	Picking	1. Pendiente de generación de Entrega	1000000191	COLOMBIANA DE COMERCIO CORBETA SA	903155308	ZED1	17.07.2023	AKVEN0000970318	      50	PB0091599	    78,552	COP	        12	         2	UN	    13,092	B	A	B	B	A
	01	MODERNO	Picking	1. Pendiente de generación de Entrega	1000000191	COLOMBIANA DE COMERCIO CORBETA SA	903155309	ZED1	17.07.2023	AKCAL0000258772	      60	PB0091599	    39,276	COP	         6	         2	UN	    13,092	B	A	B	B	A
	01	MODERNO	Picking	1. Pendiente de generación de Entrega	1000000191	COLOMBIANA DE COMERCIO CORBETA SA	903155310	ZED1	17.07.2023	AKCAN0000011938	      50	PB0091599	    78,552	COP	        12	         2	UN	    13,092	B	A	B	B	A
	01	MODERNO	Picking	1. Pendiente de generación de Entrega	1000000191	COLOMBIANA DE COMERCIO CORBETA SA	903155311	ZED1	17.07.2023	AKEDE0000064779	      60	PB0091599	    78,552	COP	        12	         2	UN	    13,092	B	A	B	B	A
	01	MODERNO	Picking	1. Pendiente de generación de Entrega	1000000191	COLOMBIANA DE COMERCIO CORBETA SA	903155312	ZED1	17.07.2023	AKPER0000288106	      70	PB0091599	    39,276	COP	         6	         2	UN	    13,092	B	A	B	B	A
	01	MODERNO	Picking	1. Pendiente de generación de Entrega	1000000191	COLOMBIANA DE COMERCIO CORBETA SA	903155313	ZED1	17.07.2023	AK1700000337364	     100	PB0091599	   117,828	COP	        18	         2	UN	    13,092	B	A	B	B	A
	01	MODERNO	Picking	1. Pendiente de generación de Entrega	1000000191	COLOMBIANA DE COMERCIO CORBETA SA	903155314	ZED1	17.07.2023	AKVIL0000406937	      80	PB0091599	   117,828	COP	        18	         2	UN	    13,092	B	A	B	B	A
	01	MODERNO	Picking	1. Pendiente de generación de Entrega	1000000191	COLOMBIANA DE COMERCIO CORBETA SA	903155315	ZED1	17.07.2023	AKB680000996692	      90	PB0091599	   157,104	COP	        24	         2	UN	    13,092	B	A	B	B	A
	01	MODERNO	Picking	1. Pendiente de generación de Entrega	1000000191	COLOMBIANA DE COMERCIO CORBETA SA	903155316	ZED1	17.07.2023	AKFLO0000082522	     100	PB0091599	   235,656	COP	        36	         2	UN	    13,092	B	A	B	B	A
	01	MODERNO	Picking	1. Pendiente de generación de Entrega	100147	FEDRA MORELO	903155325	ZKL	17.07.2023		     150	PB0079854	         0	COP	         2	         2	UN	         0	B		B	A	A
	01	MODERNO	Picking	1. Pendiente de generación de Entrega	100147	FEDRA MORELO	903155325	ZKL	17.07.2023		     140	PB0069810	         0	COP	         1	         1	UN	         0	B		B	A	A
	01	MODERNO	Picking	1. Pendiente de generación de Entrega	100147	FEDRA MORELO	903155325	ZKL	17.07.2023		     130	PB0074088	         0	COP	         1	         1	UN	         0	B		B	A	A
	01	MODERNO	Picking	1. Pendiente de generación de Entrega	100147	FEDRA MORELO	903155325	ZKL	17.07.2023		     120	PB0079615	         0	COP	         2	         2	UN	         0	B		B	A	A
	01	MODERNO	Picking	1. Pendiente de generación de Entrega	100147	FEDRA MORELO	903155325	ZKL	17.07.2023		     110	PB0085967	         0	COP	         2	         2	UN	         0	B		B	A	A
	01	MODERNO	Picking	1. Pendiente de generación de Entrega	100147	FEDRA MORELO	903155325	ZKL	17.07.2023		      90	PB0080350	         0	COP	         2	         2	UN	         0	B		B	A	A
	01	MODERNO	Picking	1. Pendiente de generación de Entrega	100147	FEDRA MORELO	903155325	ZKL	17.07.2023		      80	PB0076429	         0	COP	         1	         1	UN	         0	B		B	A	A
	01	MODERNO	Picking	1. Pendiente de generación de Entrega	100147	FEDRA MORELO	903155325	ZKL	17.07.2023		      20	PB0079615	         0	COP	        20	        20	UN	         0	B		B	A	A
	01	MODERNO	Picking	1. Pendiente de generación de Entrega	100147	FEDRA MORELO	903155325	ZKL	17.07.2023		      10	PB0082915	         0	COP	        41	        41	UN	         0	B		B	A	A
	01	MODERNO	Picking	1. Pendiente de generación de Entrega	100147	FEDRA MORELO	903155325	ZKL	17.07.2023		      30	PB0085967	         0	COP	        15	        15	UN	         0	B		B	A	A
	01	MODERNO	Picking	1. Pendiente de generación de Entrega	100147	FEDRA MORELO	903155325	ZKL	17.07.2023		      50	PB0076429	         0	COP	         5	         5	UN	         0	B		B	A	A
	01	MODERNO	Picking	1. Pendiente de generación de Entrega	100147	FEDRA MORELO	903155325	ZKL	17.07.2023		      60	PB0069806	         0	COP	         2	         2	UN	         0	B		B	A	A
	01	MODERNO	Picking	1. Pendiente de generación de Entrega	100147	FEDRA MORELO	903155325	ZKL	17.07.2023		      70	PB0085969	         0	COP	         3	         3	UN	         0	B		B	A	A
	01	MODERNO	Picking	1. Pendiente de generación de Entrega	100647	KARINA  BRIEVA PAJARO	903155326	ZKL	17.07.2023		     100	PB0069810	         0	COP	         3	         3	UN	         0	B		B	A	A
	01	MODERNO	Picking	1. Pendiente de generación de Entrega	100647	KARINA  BRIEVA PAJARO	903155326	ZKL	17.07.2023		      90	PB0085967	         0	COP	         2	         2	UN	         0	B		B	A	A
	01	MODERNO	Picking	1. Pendiente de generación de Entrega	100647	KARINA  BRIEVA PAJARO	903155326	ZKL	17.07.2023		      80	PB0080350	         0	COP	         2	         2	UN	         0	B		B	A	A
	01	MODERNO	Picking	1. Pendiente de generación de Entrega	100647	KARINA  BRIEVA PAJARO	903155326	ZKL	17.07.2023		      70	PB0085969	         0	COP	         3	         3	UN	         0	B		B	A	A
	01	MODERNO	Picking	1. Pendiente de generación de Entrega	100647	KARINA  BRIEVA PAJARO	903155326	ZKL	17.07.2023		      60	PB0069806	         0	COP	         4	         4	UN	         0	B		B	A	A
