21.07.2023                                                                                                           Salida dinámica de lista                                                                                                                                                                1


	Can.distr.	Denomin.	Seccion	Estado	Solic.	Nombre	Pedido	Clase Pedi	Creado el	Pedido	Posición	Material	Vlr.Neto P	Moneda	Cantidad P	Cantidad C	UM venta	Vlr.Neto C	Status Glo	Status Tot	Status Ent	Status Ent	Status Ent

	02	TRADICIONAL	Picking	2. Entrega generada parcialmente	1000002142	COPIDROGAS LTDA   .	903152028	ZED1	12.07.2023	7600186093-2	      10	PB0026961	 1,880,107	COP	       144	        79	UN	 1,031,448	B	A	B	B	B
	02	TRADICIONAL	Picking	1. Pendiente de generación de Entrega	1000058855	SUPERMERCADOS MERCACENTRO SAS	903154657	ZED1	17.07.2023	04PEDI23-07491	     310	3004290360	    51,414	COP	         3	         0	UN	         0	B	D	B	B	A
	02	TRADICIONAL	Picking	1. Pendiente de generación de Entrega	1000058855	SUPERMERCADOS MERCACENTRO SAS	903154657	ZED1	17.07.2023	04PEDI23-07491	     360	PB0051808	    26,328	COP	         6	         1	UN	     4,388	B	D	B	B	A
	02	TRADICIONAL	Picking	1. Pendiente de generación de Entrega	1000058855	SUPERMERCADOS MERCACENTRO SAS	903154657	ZED1	17.07.2023	04PEDI23-07491	     630	PB0075971	    92,068	COP	         2	         0	UN	         0	B	D	B	B	A
	02	TRADICIONAL	Picking	1. Pendiente de generación de Entrega	1000058855	SUPERMERCADOS MERCACENTRO SAS	903154657	ZED1	17.07.2023	04PEDI23-07491	     680	PB0040407	    27,780	COP	         6	         0	UN	         0	B	D	B	B	A
	02	TRADICIONAL	Picking	1. Pendiente de generación de Entrega	1000058855	SUPERMERCADOS MERCACENTRO SAS	903154657	ZED1	17.07.2023	04PEDI23-07491	     700	PB0053046	    40,050	COP	         6	         0	UN	         0	B	D	B	B	A
	02	TRADICIONAL	Picking	1. Pendiente de generación de Entrega	1000058855	SUPERMERCADOS MERCACENTRO SAS	903154657	ZED1	17.07.2023	04PEDI23-07491	     790	1002813620	    42,206	COP	         2	         0	UN	         0	B	D	B	B	A
	02	TRADICIONAL	Picking	1. Pendiente de generación de Entrega	1000058855	SUPERMERCADOS MERCACENTRO SAS	903154657	ZED1	17.07.2023	04PEDI23-07491	    1130	PB0091162	   100,434	COP	         6	         0	UN	         0	B	D	B	B	A
	02	TRADICIONAL	Picking	1. Pendiente de generación de Entrega	1000058855	SUPERMERCADOS MERCACENTRO SAS	903154657	ZED1	17.07.2023	04PEDI23-07491	    1070	PB0088369	   152,712	COP	        12	         0	UN	         0	B	D	B	B	A
	02	TRADICIONAL	Picking	1. Pendiente de generación de Entrega	1000058855	SUPERMERCADOS MERCACENTRO SAS	903154657	ZED1	17.07.2023	04PEDI23-07491	    1040	PB0087319	    53,656	COP	         2	         0	UN	         0	B	D	B	B	A
	02	TRADICIONAL	Picking	1. Pendiente de generación de Entrega	1000058855	SUPERMERCADOS MERCACENTRO SAS	903154657	ZED1	17.07.2023	04PEDI23-07491	     970	PB0037261	    26,622	COP	         2	         0	UN	         0	B	D	B	B	A
	02	TRADICIONAL	Picking	1. Pendiente de generación de Entrega	1000005497	COMERCIALIZADORA MERCALDAS SA	903155696	ZTAC	18.07.2023		    1100	PB0037232	    13,774	COP	         2	         0	UN	         0	B	A	B	B	A
	02	TRADICIONAL	Picking	1. Pendiente de generación de Entrega	1000005497	COMERCIALIZADORA MERCALDAS SA	903155696	ZTAC	18.07.2023		     910	PB0091162	    33,478	COP	         2	         0	UN	         0	B	A	B	B	A
	02	TRADICIONAL	Picking	1. Pendiente de generación de Entrega	1000005497	COMERCIALIZADORA MERCALDAS SA	903155696	ZTAC	18.07.2023		     730	PB0053046	    26,700	COP	         4	         0	UN	         0	B	A	B	B	A
	02	TRADICIONAL	Picking	1. Pendiente de generación de Entrega	1000005497	COMERCIALIZADORA MERCALDAS SA	903155696	ZTAC	18.07.2023		     690	PB0051808	    13,164	COP	         3	         0	UN	         0	B	A	B	B	A
	02	TRADICIONAL	Picking	1. Pendiente de generación de Entrega	1000005497	COMERCIALIZADORA MERCALDAS SA	903155696	ZTAC	18.07.2023		      90	PB0088954	    28,638	COP	         6	         0	UN	         0	B	A	B	B	A
	02	TRADICIONAL	Picking	1. Pendiente de generación de Entrega	1000005497	COMERCIALIZADORA MERCALDAS SA	903155702	ZTAC	18.07.2023	37266	     400	PB0073082	    19,530	COP	         2	         0	UN	         0	B	A	B	B	A
	02	TRADICIONAL	Picking	1. Pendiente de generación de Entrega	1000005497	COMERCIALIZADORA MERCALDAS SA	903155702	ZTAC	18.07.2023	37266	     140	1002813620	    63,309	COP	         3	         0	UN	         0	B	A	B	B	A
	02	TRADICIONAL	Picking	1. Pendiente de generación de Entrega	1000005497	COMERCIALIZADORA MERCALDAS SA	903155702	ZTAC	18.07.2023	37266	     120	PB0064101	   101,979	COP	         3	         0	UN	         0	B	A	B	B	A
	02	TRADICIONAL	Picking	1. Pendiente de generación de Entrega	1000005497	COMERCIALIZADORA MERCALDAS SA	903155702	ZTAC	18.07.2023	37266	      70	PB0088954	    14,319	COP	         3	         0	UN	         0	B	A	B	B	A
	02	TRADICIONAL	Picking	1. Pendiente de generación de Entrega	1000005497	COMERCIALIZADORA MERCALDAS SA	903155702	ZTAC	18.07.2023	37266	     740	3004290200	    51,414	COP	         3	         0	UN	         0	B	A	B	B	A
	02	TRADICIONAL	Picking	1. Pendiente de generación de Entrega	1000005497	COMERCIALIZADORA MERCALDAS SA	903155702	ZTAC	18.07.2023	37266	     830	PB0053046	    26,700	COP	         4	         0	UN	         0	B	A	B	B	A
	02	TRADICIONAL	Picking	1. Pendiente de generación de Entrega	1000005497	COMERCIALIZADORA MERCALDAS SA	903155702	ZTAC	18.07.2023	37266	     880	PB0037948	    15,606	COP	         3	         0	UN	         0	B	A	B	B	A
	02	TRADICIONAL	Picking	1. Pendiente de generación de Entrega	1000005497	COMERCIALIZADORA MERCALDAS SA	903155702	ZTAC	18.07.2023	37266	    1070	PB0091162	    33,478	COP	         2	         0	UN	         0	B	A	B	B	A
	02	TRADICIONAL	Picking	1. Pendiente de generación de Entrega	1000005497	COMERCIALIZADORA MERCALDAS SA	903155702	ZTAC	18.07.2023	37266	    1330	PB0037232	    20,661	COP	         3	         0	UN	         0	B	A	B	B	A
	02	TRADICIONAL	Picking	1. Pendiente de generación de Entrega	1000058741	SURTIALIADOS SAS   .	903155721	ZTAC	18.07.2023	2528	      70	PB0087739	   252,324	COP	        12	         0	UN	         0	B	A	B	B	A
	02	TRADICIONAL	Picking	1. Pendiente de generación de Entrega	1000058741	SURTIALIADOS SAS   .	903155721	ZTAC	18.07.2023	2528	      80	PB0074181	   210,270	COP	        10	         0	UN	         0	B	A	B	B	A
	02	TRADICIONAL	Picking	1. Pendiente de generación de Entrega	1000058741	SURTIALIADOS SAS   .	903155789	ZTAC	18.07.2023	474	     280	PB0087739	   630,810	COP	        30	         0	UN	         0	B	A	B	B	A
	02	TRADICIONAL	Picking	1. Pendiente de generación de Entrega	1000058741	SURTIALIADOS SAS   .	903155789	ZTAC	18.07.2023	474	     250	PB0074181	   420,540	COP	        20	         0	UN	         0	B	A	B	B	A
	02	TRADICIONAL	Picking	1. Pendiente de generación de Entrega	1000058741	SURTIALIADOS SAS   .	903155789	ZTAC	18.07.2023	474	      40	PB0025102	 1,349,460	COP	       180	       180	UN	 1,349,460	B	A	B	B	A
