21.07.2023                                                                                                                    Salida dinámica de lista                                                                                                                                                                          1

21.07.2023			                                                                                                                                    LISTADO DE PEDIDOS CON DATOS DE JERARQUÍA																									  1

LISTADO DE PEDIDOS CON DATOS DE JERARQUÍA

		Fecha doc.		Solicitante	Cliente	Nº de cliente 1	Marca	Material	Número de material	  Unidades	UM	    ValorNeto	Nº pedido cliente	Doc.venta	ClVt	Solic.	OrgVt	CDis	OfVta	GVen	Organización de ventas	Mon.	Jquía.productos	Total Pedidos	Plataforma	Fe.PedCpas	Creado por

		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Vitú	PB0088954	VITÚ BÁLSAMOS SÁBILA 4 FRAMBUESA 4G	        1	UN	       5,040	0085782604	903156632	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001017080001003	           1	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Vitú	PB0053046	PESTAÑINA VITU SABILA	        2	UN	      14,652	0085782604	903156641	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001017080001001001	           1	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Vitú	PB0037231	VITÚ BRILLO MANT KARITÉ 4 FRESA NI	        1	UN	       8,000	0085782604	903156641	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001017080001003012	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Vitú	PB0067275	GEL LIMPIADOR FACIAL POMELO 150 ML	        1	UN	      13,102	0085782604	903156641	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001017080002075287	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Vitú	PB0084892	ESMALTE VITÚ GEMA FREE 8ML	        1	UN	       2,823	0085782604	903156653	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001017080001004013	           1	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Vitú	PB0084894	ESMALTE VITÚ MAGNOLIA FREE 8ML	        1	UN	       2,823	0085782604	903156653	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001017080001004013	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Vitú	PB0084888	ESMALTE VITÚ CEREZA FREE 8ML	        1	UN	       2,823	0085782604	903156653	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001017080001004013	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Vitú	PB0069736	CORRECTOR VITÚ COLÁGENO SOYA 3.5 NUEZ	        1	UN	      10,421	0085782604	903156653	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001017080001002007	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Vitú	PB0084840	PLVO VITÚ CALEND. ESPE. TONO 2 AVELL.12G	        1	UN	       7,994	0085782604	903156653	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001017080001002006	           0	ALMACENES EXITO SA	19.07.2023	JOBS
