21.07.2023                                                                                               Salida dinámica de lista                                                                                                                                                     1

21.07.2023				                                                                                                                          PEDIDOS PENDIENTES																				  1

PEDIDOS PENDIENTES

		OrgVt	CDis		BqEn	Solic.	PrimFeEntr	ÚltEntrega	FePrefEnt.	ClVt	    Valor neto	Mon.	Doc.venta	ST	Solicitante	Nº pedido cliente	Descrip.breve	Nº de cliente 1	Contador de pedidos	Dirección	Barrio	Población	Teléfono

		1000	01			1000000000	20.07.2023	25.07.2023	25.07.2023	ZEDI	       19,159	COP	903156622	C	ALMACENES EXITO SA	0020679423	Tratado completamente	EXITO - ALMACENES EXITO	                 1	CR 48 32 B SUR 139		Envigado	3396565
		1000	01			1000000000	20.07.2023	25.07.2023	25.07.2023	ZEDI	       19,159	COP	903156622	C	ALMACENES EXITO SA	0020679423	Tratado completamente	ALMACENES EXITO SA	                 1	CR 48 32 B SUR 139		Envigado	3396565
		1000	01			1000000000	20.07.2023	25.07.2023	25.07.2023	ZEDI	       19,159	COP	903156622	C	ALMACENES EXITO SA	0020679423	Tratado completamente	CEDI LAS VEGAS	                 1	CR 48 32 B SUR 139		Envigado	3396565
		1000	01			1000000000	20.07.2023	25.07.2023	25.07.2023	ZEDI	       19,159	COP	903156622	C	ALMACENES EXITO SA	0020679423	Tratado completamente	ALMACENES EXITO SA	                 1	CR 48 32 B SUR 139		Envigado	3396565
		1000	01			1000000000	20.07.2023	25.07.2023	25.07.2023	ZEDI	       19,159	COP	903156622	C	ALMACENES EXITO SA	0020679423	Tratado completamente		                 1	CR 48 32 B SUR 139		Envigado	3396565
		1000	01			1000000000	20.07.2023	25.07.2023	25.07.2023	ZEDI	       19,159	COP	903156622	C	ALMACENES EXITO SA	0020679423	Tratado completamente	EXITO SABANETA	                 1	CR 48 32 B SUR 139		Envigado	3396565
		1000	01			1000000000	20.07.2023	25.07.2023	25.07.2023	ZEDI	       19,159	COP	903156622	C	ALMACENES EXITO SA	0020679423	Tratado completamente	CPV-CAROLINA MUNERA MARTINEZ	                 1	CR 48 32 B SUR 139		Envigado	3396565
		1000	01			1000000000	20.07.2023	25.07.2023	25.07.2023	ZEDI	       19,159	COP	903156622	C	ALMACENES EXITO SA	0020679423	Tratado completamente	RV- ALEJANDRO CALAD POSADA	                 1	CR 48 32 B SUR 139		Envigado	3396565
		1000	01			1000000000	20.07.2023	25.07.2023	25.07.2023	ZEDI	       19,159	COP	903156622	C	ALMACENES EXITO SA	0020679423	Tratado completamente	CPV - MARCELA VASQUEZ BERMUDEZ	                 1	CR 48 32 B SUR 139		Envigado	3396565
		1000	01			1000000000	20.07.2023	25.07.2023	25.07.2023	ZEDI	       19,159	COP	903156622	C	ALMACENES EXITO SA	0020679423	Tratado completamente	PLATAFORMA MEDELLIN ÉXITO	                 1	CR 48 32 B SUR 139		Envigado	3396565
		1000	01			1000000000	20.07.2023	25.07.2023	25.07.2023	ZEDI	      311,670	COP	903156630	C	ALMACENES EXITO SA	0020679423	Tratado completamente	CARULLA-CARULLA	                 1	CR 48 32 B SUR 139		Envigado	3396565
		1000	01			1000000000	20.07.2023	25.07.2023	25.07.2023	ZEDI	      311,670	COP	903156630	C	ALMACENES EXITO SA	0020679423	Tratado completamente	ALMACENES EXITO SA	                 1	CR 48 32 B SUR 139		Envigado	3396565
		1000	01			1000000000	20.07.2023	25.07.2023	25.07.2023	ZEDI	      311,670	COP	903156630	C	ALMACENES EXITO SA	0020679423	Tratado completamente	CEDI LAS VEGAS	                 1	CR 48 32 B SUR 139		Envigado	3396565
		1000	01			1000000000	20.07.2023	25.07.2023	25.07.2023	ZEDI	      311,670	COP	903156630	C	ALMACENES EXITO SA	0020679423	Tratado completamente	ALMACENES EXITO SA	                 1	CR 48 32 B SUR 139		Envigado	3396565
		1000	01			1000000000	20.07.2023	25.07.2023	25.07.2023	ZEDI	      311,670	COP	903156630	C	ALMACENES EXITO SA	0020679423	Tratado completamente		                 1	CR 48 32 B SUR 139		Envigado	3396565
		1000	01			1000000000	20.07.2023	25.07.2023	25.07.2023	ZEDI	      311,670	COP	903156630	C	ALMACENES EXITO SA	0020679423	Tratado completamente	CARULLA PALMAS	                 1	CR 48 32 B SUR 139		Envigado	3396565
		1000	01			1000000000	20.07.2023	25.07.2023	25.07.2023	ZEDI	      311,670	COP	903156630	C	ALMACENES EXITO SA	0020679423	Tratado completamente	RV-LILIANA JEANNETH TINJACA	                 1	CR 48 32 B SUR 139		Envigado	3396565
		1000	01			1000000000	20.07.2023	25.07.2023	25.07.2023	ZEDI	      311,670	COP	903156630	C	ALMACENES EXITO SA	0020679423	Tratado completamente	RV- ALEJANDRO CALAD POSADA	                 1	CR 48 32 B SUR 139		Envigado	3396565
		1000	01			1000000000	20.07.2023	25.07.2023	25.07.2023	ZEDI	      311,670	COP	903156630	C	ALMACENES EXITO SA	0020679423	Tratado completamente	CPV-LADY MEJIA	                 1	CR 48 32 B SUR 139		Envigado	3396565
		1000	01			1000000000	20.07.2023	25.07.2023	25.07.2023	ZEDI	      311,670	COP	903156630	C	ALMACENES EXITO SA	0020679423	Tratado completamente	PLATAFORMA MEDELLIN ÉXITO	                 1	CR 48 32 B SUR 139		Envigado	3396565
		1000	01			1000000000	20.07.2023	25.07.2023	25.07.2023	ZEDI	      807,544	COP	903156635	C	ALMACENES EXITO SA	0020679423	Tratado completamente	CARULLA-CARULLA	                 1	CR 48 32 B SUR 139		Envigado	3396565
		1000	01			1000000000	20.07.2023	25.07.2023	25.07.2023	ZEDI	      807,544	COP	903156635	C	ALMACENES EXITO SA	0020679423	Tratado completamente	ALMACENES EXITO SA	                 1	CR 48 32 B SUR 139		Envigado	3396565
		1000	01			1000000000	20.07.2023	25.07.2023	25.07.2023	ZEDI	      807,544	COP	903156635	C	ALMACENES EXITO SA	0020679423	Tratado completamente	CEDI LAS VEGAS	                 1	CR 48 32 B SUR 139		Envigado	3396565
		1000	01			1000000000	20.07.2023	25.07.2023	25.07.2023	ZEDI	      807,544	COP	903156635	C	ALMACENES EXITO SA	0020679423	Tratado completamente	ALMACENES EXITO SA	                 1	CR 48 32 B SUR 139		Envigado	3396565
		1000	01			1000000000	20.07.2023	25.07.2023	25.07.2023	ZEDI	      807,544	COP	903156635	C	ALMACENES EXITO SA	0020679423	Tratado completamente		                 1	CR 48 32 B SUR 139		Envigado	3396565
		1000	01			1000000000	20.07.2023	25.07.2023	25.07.2023	ZEDI	      807,544	COP	903156635	C	ALMACENES EXITO SA	0020679423	Tratado completamente	CARULLA OVIEDO	                 1	CR 48 32 B SUR 139		Envigado	3396565
		1000	01			1000000000	20.07.2023	25.07.2023	25.07.2023	ZEDI	      807,544	COP	903156635	C	ALMACENES EXITO SA	0020679423	Tratado completamente	RV-LILIANA JEANNETH TINJACA	                 1	CR 48 32 B SUR 139		Envigado	3396565
		1000	01			1000000000	20.07.2023	25.07.2023	25.07.2023	ZEDI	      807,544	COP	903156635	C	ALMACENES EXITO SA	0020679423	Tratado completamente	RV- ALEJANDRO CALAD POSADA	                 1	CR 48 32 B SUR 139		Envigado	3396565
